question,answer
Python常见数据结构有哪些,python有六个标准的数据类型，其中有三个不可变类型:Number(数字)、String(字符串)、Tuple(元组);三个可变类型：List(列表)、Dictionary(字典)、Set(集合)
python自带的数据结构有哪些?,python有六个标准的数据类型，其中有三个不可变类型:Number(数字)、String(字符串)、Tuple(元组);三个可变类型：List(列表)、Dictionary(字典)、Set(集合)
python语言自带的数据结构有哪些？,python有六个标准的数据类型，其中有三个不可变类型:Number(数字)、String(字符串)、Tuple(元组);三个可变类型：List(列表)、Dictionary(字典)、Set(集合)
python变量的三要素是什么,Id：唯一标识一个对象; Type：标识对象的类型; Value：对象的值
Python中is和==的区别,==是用来比较判断两个对象的value(值)是否相等，is判断的是对象间的唯一身份标识，也就是id是否相同
python中number对象的数据类型有哪些？,python3的Number数据类型支持int、float、bool、complex，在python3中取消了long类型
python中Number对象的支持哪些类型？,python3的Number数据类型支持int、float、bool、complex，在python3中取消了long类型
python字符串驻留机制,"对于短字符串，将其赋值给多个不同的对象时，内存中只有一个副本，多个对象共享该副本，驻留适用范围：由数字，字符和下划线（_）组成的python标识符以及整数[-5, 256]"
python的逻辑运算符有哪些?,and or not三种
python字符串内置函数,wx web
python string类型常用的内置函数,wx web
python列表的使用方法,wx web
python list的使用方法,wx web
python字典的使用方法,wx web
python dict的使用方法,wx web
python元组的使用方法,wx web
python tuple的使用方法,wx web
python集合的使用方法,wx web
python set的使用方法,wx web
循环程序的优化方法有哪些？,1.尽量减少循环内部的计算; 2.尽量减少内层循环的计算，尽可能往外提; 3.局部变量查询速度快，尽量使用局部变量
循环程序的注意事项,1.尽量减少循环内部的计算; 2.尽量减少内层循环的计算，尽可能往外提; 3.局部变量查询速度快，尽量使用局部变量
python推导式有那几种?,1.列表推导式; 2.字典推导式; 3.集合推导式; 4.生成器推导式
浅拷贝与深拷贝的区别,浅拷贝不拷贝对象的内容，只拷贝对象的引用; 深拷贝不仅拷贝对象的引用，而且拷贝对象的内容
python中*与**的区别,*:将多个参数收集到元组中; **:将多个参数收集到字典中
python中global()与nolocal()的区别,wx web
python中global()函数与nolocal()函数的区别,wx web
python的异常处理机制,wx web
python中try except的使用方法,wx web